URL,Title,Cleaned Text Content
https://quotes.toscrape.com/,Quotes to Scrape,quotes to scrape login the world as we have created it is a process of our thinking it cannot be changed without changing our thinking byalbert einstein about it is our choices harry that show what we truly are far more than our abilities byj k rowling about there are only two ways to live your life one is as though nothing is a miracle the other is as though everything is a miracle byalbert einstein about the person be it gentleman or lady who has not pleasure in a good novel must be intolerably stupid byjane austen about imperfection is beauty madness is genius and it s better to be absolutely ridiculous than absolutely boring bymarilyn monroe about try not to become a man of success rather become a man of value byalbert einstein about it is better to be hated for what you are than to be loved for what you are not byandré gide about i have not failed i ve just found ways that won t work bythomas a edison about a woman is like a tea bag you never know how strong it is until it s in hot water byeleanor roosevelt about a day without sunshine is like you know night bysteve martin about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/login,Login,quotes to scrape login quotes by goodreads com made with byzyte
https://quotes.toscrape.com/author/Albert-Einstein,(about),quotes to scrape login albert einstein born march in ulm germany march in ulm germany description quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/change/page/1/,change,quotes to scrape login viewing tag change the world as we have created it is a process of our thinking it cannot be changed without changing our thinking byalbert einstein about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/deep-thoughts/page/1/,deep-thoughts,quotes to scrape login viewing tag deep thoughts the world as we have created it is a process of our thinking it cannot be changed without changing our thinking byalbert einstein about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/thinking/page/1/,thinking,quotes to scrape login viewing tag thinking the world as we have created it is a process of our thinking it cannot be changed without changing our thinking byalbert einstein about the trouble with having an open mind of course is that people will insist on coming along and trying to put things in it byterry pratchett about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/world/page/1/,world,quotes to scrape login viewing tag world the world as we have created it is a process of our thinking it cannot be changed without changing our thinking byalbert einstein about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/author/J-K-Rowling,(about),quotes to scrape login j k rowling born july in yate south gloucestershire england the united kingdom july in yate south gloucestershire england the united kingdom description quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/abilities/page/1/,abilities,quotes to scrape login viewing tag abilities it is our choices harry that show what we truly are far more than our abilities byj k rowling about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/choices/page/1/,choices,quotes to scrape login viewing tag choices it is our choices harry that show what we truly are far more than our abilities byj k rowling about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/author/Albert-Einstein,(about),quotes to scrape login albert einstein born march in ulm germany march in ulm germany description quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/inspirational/page/1/,inspirational,quotes to scrape login viewing tag inspirational there are only two ways to live your life one is as though nothing is a miracle the other is as though everything is a miracle byalbert einstein about imperfection is beauty madness is genius and it s better to be absolutely ridiculous than absolutely boring bymarilyn monroe about i have not failed i ve just found ways that won t work bythomas a edison about this life is what you make it no matter what you re going to mess up sometimes it s a universal truth but the good part is you get to decide how you re going to mess it up girls will be your friends they ll act like it anyway but just remember some come some go the ones that stay with you through everything they re your true best friends don t let go of them also remember sisters make the best friends in the world as for lovers well they ll come and go too and baby i hate to say it most of them actually pretty much all of them are going to break your heart but you can t give up because if you give up you ll never find your soulmate you ll never find that half who makes you whole and that goes for everything just because you fail once doesn t mean you re gonna fail at everything keep trying hold on and always always always believe in yourself because if you don t then who will sweetie so keep your head high keep your chin up and most importantly keep smiling because life s a beautiful thing and there s so much to smile about bymarilyn monroe about the opposite of love is not hate it s indifference the opposite of art is not ugliness it s indifference the opposite of faith is not heresy it s indifference and the opposite of life is not death it s indifference byelie wiesel about to the well organized mind death is but the next great adventure byj k rowling about it is never too late to be what you might have been bygeorge eliot about you can never get a cup of tea large enough or a book long enough to suit me byc s lewis about only in the darkness can you see the stars bymartin luther king jr about when one door of happiness closes another opens but often we look so long at the closed door that we do not see the one which has been opened for us byhelen keller about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/life/page/1/,life,quotes to scrape login viewing tag life there are only two ways to live your life one is as though nothing is a miracle the other is as though everything is a miracle byalbert einstein about it is better to be hated for what you are than to be loved for what you are not byandré gide about this life is what you make it no matter what you re going to mess up sometimes it s a universal truth but the good part is you get to decide how you re going to mess it up girls will be your friends they ll act like it anyway but just remember some come some go the ones that stay with you through everything they re your true best friends don t let go of them also remember sisters make the best friends in the world as for lovers well they ll come and go too and baby i hate to say it most of them actually pretty much all of them are going to break your heart but you can t give up because if you give up you ll never find your soulmate you ll never find that half who makes you whole and that goes for everything just because you fail once doesn t mean you re gonna fail at everything keep trying hold on and always always always believe in yourself because if you don t then who will sweetie so keep your head high keep your chin up and most importantly keep smiling because life s a beautiful thing and there s so much to smile about bymarilyn monroe about i may not have gone where i intended to go but i think i have ended up where i needed to be bydouglas adams about good friends good books and a sleepy conscience this is the ideal life bymark twain about life is what happens to us while we are making other plans byallen saunders about today you are you that is truer than true there is no one alive who is youer than you bydr seuss about life is like riding a bicycle to keep your balance you must keep moving byalbert einstein about life isn t about finding yourself life is about creating yourself bygeorge bernard shaw about finish each day and be done with it you have done what you could some blunders and absurdities no doubt crept in forget them as soon as you can tomorrow is a new day you shall begin it serenely and with too high a spirit to be encumbered with your old nonsense byralph waldo emerson about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/live/page/1/,live,quotes to scrape login viewing tag live there are only two ways to live your life one is as though nothing is a miracle the other is as though everything is a miracle byalbert einstein about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/miracle/page/1/,miracle,quotes to scrape login viewing tag miracle there are only two ways to live your life one is as though nothing is a miracle the other is as though everything is a miracle byalbert einstein about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/miracles/page/1/,miracles,quotes to scrape login viewing tag miracles there are only two ways to live your life one is as though nothing is a miracle the other is as though everything is a miracle byalbert einstein about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/author/Jane-Austen,(about),quotes to scrape login jane austen born december in steventon rectory hampshire the united kingdom december in steventon rectory hampshire the united kingdom description quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/aliteracy/page/1/,aliteracy,quotes to scrape login viewing tag aliteracy the person be it gentleman or lady who has not pleasure in a good novel must be intolerably stupid byjane austen about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/books/page/1/,books,quotes to scrape login viewing tag books the person be it gentleman or lady who has not pleasure in a good novel must be intolerably stupid byjane austen about good friends good books and a sleepy conscience this is the ideal life bymark twain about i have always imagined that paradise will be a kind of library byjorge luis borges about you can never get a cup of tea large enough or a book long enough to suit me byc s lewis about if you only read the books that everyone else is reading you can only think what everyone else is thinking byharuki murakami about there is no friend as loyal as a book byernest hemingway about what really knocks me out is a book that when you re all done reading it you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it that doesn t happen much though byj d salinger about classic a book which people praise and don t read bymark twain about i declare after all there is no enjoyment like reading how much sooner one tires of any thing than of a book when i have a house of my own i shall be miserable if i have not an excellent library byjane austen about you have to write the book that wants to be written and if the book will be too difficult for grown ups then you write it for children bymadeleine l engle about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/classic/page/1/,classic,quotes to scrape login viewing tag classic the person be it gentleman or lady who has not pleasure in a good novel must be intolerably stupid byjane austen about classic a book which people praise and don t read bymark twain about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/humor/page/1/,humor,quotes to scrape login viewing tag humor the person be it gentleman or lady who has not pleasure in a good novel must be intolerably stupid byjane austen about a day without sunshine is like you know night bysteve martin about anyone who thinks sitting in church can make you a christian must also think that sitting in a garage can make you a car bygarrison keillor about beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye byjim henson about all you need is love but a little chocolate now and then doesn t hurt bycharles m schulz about remember we re madly in love so it s all right to kiss me anytime you feel like it bysuzanne collins about some people never go crazy what truly horrible lives they must lead bycharles bukowski about the trouble with having an open mind of course is that people will insist on coming along and trying to put things in it byterry pratchett about think left and think right and think low and think high oh the thinks you can think up if only you try bydr seuss about the reason i talk to myself is because i m the only one whose answers i accept bygeorge carlin about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/author/Marilyn-Monroe,(about),quotes to scrape login marilyn monroe born june in the united states june in the united states description quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/be-yourself/page/1/,be-yourself,quotes to scrape login viewing tag be yourself imperfection is beauty madness is genius and it s better to be absolutely ridiculous than absolutely boring bymarilyn monroe about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/inspirational/page/1/,inspirational,quotes to scrape login viewing tag inspirational there are only two ways to live your life one is as though nothing is a miracle the other is as though everything is a miracle byalbert einstein about imperfection is beauty madness is genius and it s better to be absolutely ridiculous than absolutely boring bymarilyn monroe about i have not failed i ve just found ways that won t work bythomas a edison about this life is what you make it no matter what you re going to mess up sometimes it s a universal truth but the good part is you get to decide how you re going to mess it up girls will be your friends they ll act like it anyway but just remember some come some go the ones that stay with you through everything they re your true best friends don t let go of them also remember sisters make the best friends in the world as for lovers well they ll come and go too and baby i hate to say it most of them actually pretty much all of them are going to break your heart but you can t give up because if you give up you ll never find your soulmate you ll never find that half who makes you whole and that goes for everything just because you fail once doesn t mean you re gonna fail at everything keep trying hold on and always always always believe in yourself because if you don t then who will sweetie so keep your head high keep your chin up and most importantly keep smiling because life s a beautiful thing and there s so much to smile about bymarilyn monroe about the opposite of love is not hate it s indifference the opposite of art is not ugliness it s indifference the opposite of faith is not heresy it s indifference and the opposite of life is not death it s indifference byelie wiesel about to the well organized mind death is but the next great adventure byj k rowling about it is never too late to be what you might have been bygeorge eliot about you can never get a cup of tea large enough or a book long enough to suit me byc s lewis about only in the darkness can you see the stars bymartin luther king jr about when one door of happiness closes another opens but often we look so long at the closed door that we do not see the one which has been opened for us byhelen keller about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/author/Albert-Einstein,(about),quotes to scrape login albert einstein born march in ulm germany march in ulm germany description quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/adulthood/page/1/,adulthood,quotes to scrape login viewing tag adulthood try not to become a man of success rather become a man of value byalbert einstein about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/success/page/1/,success,quotes to scrape login viewing tag success try not to become a man of success rather become a man of value byalbert einstein about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/value/page/1/,value,quotes to scrape login viewing tag value try not to become a man of success rather become a man of value byalbert einstein about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/author/Andre-Gide,(about),quotes to scrape login andré gide born november in paris france november in paris france description quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/life/page/1/,life,quotes to scrape login viewing tag life there are only two ways to live your life one is as though nothing is a miracle the other is as though everything is a miracle byalbert einstein about it is better to be hated for what you are than to be loved for what you are not byandré gide about this life is what you make it no matter what you re going to mess up sometimes it s a universal truth but the good part is you get to decide how you re going to mess it up girls will be your friends they ll act like it anyway but just remember some come some go the ones that stay with you through everything they re your true best friends don t let go of them also remember sisters make the best friends in the world as for lovers well they ll come and go too and baby i hate to say it most of them actually pretty much all of them are going to break your heart but you can t give up because if you give up you ll never find your soulmate you ll never find that half who makes you whole and that goes for everything just because you fail once doesn t mean you re gonna fail at everything keep trying hold on and always always always believe in yourself because if you don t then who will sweetie so keep your head high keep your chin up and most importantly keep smiling because life s a beautiful thing and there s so much to smile about bymarilyn monroe about i may not have gone where i intended to go but i think i have ended up where i needed to be bydouglas adams about good friends good books and a sleepy conscience this is the ideal life bymark twain about life is what happens to us while we are making other plans byallen saunders about today you are you that is truer than true there is no one alive who is youer than you bydr seuss about life is like riding a bicycle to keep your balance you must keep moving byalbert einstein about life isn t about finding yourself life is about creating yourself bygeorge bernard shaw about finish each day and be done with it you have done what you could some blunders and absurdities no doubt crept in forget them as soon as you can tomorrow is a new day you shall begin it serenely and with too high a spirit to be encumbered with your old nonsense byralph waldo emerson about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/love/page/1/,love,quotes to scrape login viewing tag love it is better to be hated for what you are than to be loved for what you are not byandré gide about this life is what you make it no matter what you re going to mess up sometimes it s a universal truth but the good part is you get to decide how you re going to mess it up girls will be your friends they ll act like it anyway but just remember some come some go the ones that stay with you through everything they re your true best friends don t let go of them also remember sisters make the best friends in the world as for lovers well they ll come and go too and baby i hate to say it most of them actually pretty much all of them are going to break your heart but you can t give up because if you give up you ll never find your soulmate you ll never find that half who makes you whole and that goes for everything just because you fail once doesn t mean you re gonna fail at everything keep trying hold on and always always always believe in yourself because if you don t then who will sweetie so keep your head high keep your chin up and most importantly keep smiling because life s a beautiful thing and there s so much to smile about bymarilyn monroe about you may not be her first her last or her only she loved before she may love again but if she loves you now what else matters she s not perfect you aren t either and the two of you may never be perfect together but if she can make you laugh cause you to think twice and admit to being human and making mistakes hold onto her and give her the most you can she may not be thinking about you every second of the day but she will give you a part of her that she knows you can break her heart so don t hurt her don t change her don t analyze and don t expect more than she can give smile when she makes you happy let her know when she makes you mad and miss her when she s not there bybob marley about the opposite of love is not hate it s indifference the opposite of art is not ugliness it s indifference the opposite of faith is not heresy it s indifference and the opposite of life is not death it s indifference byelie wiesel about it is not a lack of love but a lack of friendship that makes unhappy marriages byfriedrich nietzsche about i love you without knowing how or when or from where i love you simply without problems or pride i love you in this way because i do not know any other way of loving but this in which there is no i or you so intimate that your hand upon my chest is my hand so intimate that when i fall asleep your eyes close bypablo neruda about if you can make a woman laugh you can make her do anything bymarilyn monroe about the real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space bymarilyn monroe about love does not begin and end the way we seem to think it does love is a battle love is a war love is a growing up byjames baldwin about there is nothing i would not do for those who are really my friends i have no notion of loving people by halves it is not my nature byjane austen about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/author/Thomas-A-Edison,(about),quotes to scrape login thomas a edison born february in milan ohio the united states february in milan ohio the united states description quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/edison/page/1/,edison,quotes to scrape login viewing tag edison i have not failed i ve just found ways that won t work bythomas a edison about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/failure/page/1/,failure,quotes to scrape login viewing tag failure i have not failed i ve just found ways that won t work bythomas a edison about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/inspirational/page/1/,inspirational,quotes to scrape login viewing tag inspirational there are only two ways to live your life one is as though nothing is a miracle the other is as though everything is a miracle byalbert einstein about imperfection is beauty madness is genius and it s better to be absolutely ridiculous than absolutely boring bymarilyn monroe about i have not failed i ve just found ways that won t work bythomas a edison about this life is what you make it no matter what you re going to mess up sometimes it s a universal truth but the good part is you get to decide how you re going to mess it up girls will be your friends they ll act like it anyway but just remember some come some go the ones that stay with you through everything they re your true best friends don t let go of them also remember sisters make the best friends in the world as for lovers well they ll come and go too and baby i hate to say it most of them actually pretty much all of them are going to break your heart but you can t give up because if you give up you ll never find your soulmate you ll never find that half who makes you whole and that goes for everything just because you fail once doesn t mean you re gonna fail at everything keep trying hold on and always always always believe in yourself because if you don t then who will sweetie so keep your head high keep your chin up and most importantly keep smiling because life s a beautiful thing and there s so much to smile about bymarilyn monroe about the opposite of love is not hate it s indifference the opposite of art is not ugliness it s indifference the opposite of faith is not heresy it s indifference and the opposite of life is not death it s indifference byelie wiesel about to the well organized mind death is but the next great adventure byj k rowling about it is never too late to be what you might have been bygeorge eliot about you can never get a cup of tea large enough or a book long enough to suit me byc s lewis about only in the darkness can you see the stars bymartin luther king jr about when one door of happiness closes another opens but often we look so long at the closed door that we do not see the one which has been opened for us byhelen keller about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/paraphrased/page/1/,paraphrased,quotes to scrape login viewing tag paraphrased i have not failed i ve just found ways that won t work bythomas a edison about not all of us can do great things but we can do small things with great love bymother teresa about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/author/Eleanor-Roosevelt,(about),quotes to scrape login eleanor roosevelt born october in the united states october in the united states description quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/misattributed-eleanor-roosevelt/page/1/,misattributed-eleanor-roosevelt,quotes to scrape login viewing tag misattributed eleanor roosevelt a woman is like a tea bag you never know how strong it is until it s in hot water byeleanor roosevelt about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/author/Steve-Martin,(about),quotes to scrape login steve martin born august in waco texas the united states august in waco texas the united states description quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/humor/page/1/,humor,quotes to scrape login viewing tag humor the person be it gentleman or lady who has not pleasure in a good novel must be intolerably stupid byjane austen about a day without sunshine is like you know night bysteve martin about anyone who thinks sitting in church can make you a christian must also think that sitting in a garage can make you a car bygarrison keillor about beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye byjim henson about all you need is love but a little chocolate now and then doesn t hurt bycharles m schulz about remember we re madly in love so it s all right to kiss me anytime you feel like it bysuzanne collins about some people never go crazy what truly horrible lives they must lead bycharles bukowski about the trouble with having an open mind of course is that people will insist on coming along and trying to put things in it byterry pratchett about think left and think right and think low and think high oh the thinks you can think up if only you try bydr seuss about the reason i talk to myself is because i m the only one whose answers i accept bygeorge carlin about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/obvious/page/1/,obvious,quotes to scrape login viewing tag obvious a day without sunshine is like you know night bysteve martin about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/tag/simile/page/1/,simile,quotes to scrape login viewing tag simile a day without sunshine is like you know night bysteve martin about life is like riding a bicycle to keep your balance you must keep moving byalbert einstein about he s like a drug for you bella bystephenie meyer about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
https://quotes.toscrape.com/page/2/,Next →,quotes to scrape login this life is what you make it no matter what you re going to mess up sometimes it s a universal truth but the good part is you get to decide how you re going to mess it up girls will be your friends they ll act like it anyway but just remember some come some go the ones that stay with you through everything they re your true best friends don t let go of them also remember sisters make the best friends in the world as for lovers well they ll come and go too and baby i hate to say it most of them actually pretty much all of them are going to break your heart but you can t give up because if you give up you ll never find your soulmate you ll never find that half who makes you whole and that goes for everything just because you fail once doesn t mean you re gonna fail at everything keep trying hold on and always always always believe in yourself because if you don t then who will sweetie so keep your head high keep your chin up and most importantly keep smiling because life s a beautiful thing and there s so much to smile about bymarilyn monroe about it takes a great deal of bravery to stand up to our enemies but just as much to stand up to our friends byj k rowling about if you can t explain it to a six year old you don t understand it yourself byalbert einstein about you may not be her first her last or her only she loved before she may love again but if she loves you now what else matters she s not perfect you aren t either and the two of you may never be perfect together but if she can make you laugh cause you to think twice and admit to being human and making mistakes hold onto her and give her the most you can she may not be thinking about you every second of the day but she will give you a part of her that she knows you can break her heart so don t hurt her don t change her don t analyze and don t expect more than she can give smile when she makes you happy let her know when she makes you mad and miss her when she s not there bybob marley about i like nonsense it wakes up the brain cells fantasy is a necessary ingredient in living bydr seuss about i may not have gone where i intended to go but i think i have ended up where i needed to be bydouglas adams about the opposite of love is not hate it s indifference the opposite of art is not ugliness it s indifference the opposite of faith is not heresy it s indifference and the opposite of life is not death it s indifference byelie wiesel about it is not a lack of love but a lack of friendship that makes unhappy marriages byfriedrich nietzsche about good friends good books and a sleepy conscience this is the ideal life bymark twain about life is what happens to us while we are making other plans byallen saunders about top ten tags love inspirational life humor books reading friendship friends truth simile quotes by goodreads com made with byzyte
